date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:04:29	1944/1944	---M--	200	added ('OK')	image/png	etag:%22798-559aeaa9-f458b99cd404049d%22	http://thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls-2x.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/img/slideshow-controls-2x.png	(from http://thebluewalrus.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.6)
03:04:29	5704/5704	---M--	200	added ('OK')	image/png	etag:%221648-559aeaa9-e83f47d43aa34211%22	http://thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/images/slide-nav.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/images/slide-nav.png	(from http://thebluewalrus.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.6)
03:04:30	2039/2039	---M--	200	added ('OK')	image/png	etag:%227f7-559aeaa9-880c3b6d5a91cb6%22	http://thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/images/expand.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/images/expand.png	(from http://thebluewalrus.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.6)
03:04:31	2072/2072	---M--	200	added ('OK')	image/png	etag:%22818-559aeaa9-5a6f5ee79d25fd5e%22	http://thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/images/collapse.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/plugins/jetpack/modules/shortcodes/images/collapse.png	(from http://thebluewalrus.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.6)
03:04:31	21370/21370	---M--	200	added ('OK')	image/png	etag:%22508ff2f2-537a%22	http://0.gravatar.com/images/grav-share-sprite.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/0.gravatar.com/images/grav-share-sprite.png	(from http://thebluewalrus.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.6)
03:04:33	25821/25821	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202015%2010:04:27%20GMT	http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/g.gif	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/g.gif	(from http://stats.wp.com/e-201528.js)
03:04:34	25838/25838	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202015%2010:04:29%20GMT	http://thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/c.gif	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/2015/06/18/five-albums-to-watch-out-for-this-summer/c.gif	(from http://stats.wp.com/e-201528.js)
03:04:35	786/786	---M-Z	200	added ('OK')	text/css	etag:%22312-5538e6e2-53f79ae242886d2%22	http://thebluewalrus.com/wp-content/themes/cassia/css/reset.css	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/reset.css	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:35	4619/4619	---M-Z	200	added ('OK')	text/css	etag:%22120b-5538e6e2-f8246875c3af7997%22	http://thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:35	4466/4466	---M-Z	200	added ('OK')	text/css	etag:%221172-5538e6e2-229afdda042826d7%22	http://thebluewalrus.com/wp-content/themes/cassia/css/colorbox.css	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/colorbox.css	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:35	954/954	---M--	200	added ('OK')	image/png	etag:%223ba-5538e6e2-9b174b6b6dc248f6%22	http://thebluewalrus.com/wp-content/themes/cassia/img/header-overlay.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/header-overlay.png	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:36	1167/1167	---M--	200	added ('OK')	image/png	etag:%2248f-5538e6e2-f9d271df33d17584%22	http://thebluewalrus.com/wp-content/themes/cassia/img/searchsubmit.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/searchsubmit.png	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:36	1009/1009	---M--	200	added ('OK')	image/png	etag:%223f1-5538e6e2-b7d143884a4677ad%22	http://thebluewalrus.com/wp-content/themes/cassia/img/comment.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/comment.png	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:37	2076/2076	---M--	200	added ('OK')	image/png	etag:%2281c-5538e6e2-660c5ab08a45b7b3%22	http://thebluewalrus.com/wp-content/themes/cassia/img/icon-video.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/icon-video.png	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:37	2195/2195	---M--	200	added ('OK')	image/png	etag:%22893-5538e6e2-bcb2cf1f4dc2e8f3%22	http://thebluewalrus.com/wp-content/themes/cassia/img/icon-music.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/icon-music.png	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:38	2156/2156	---M--	200	added ('OK')	image/png	etag:%2286c-5538e6e2-41a9dec4aa4517b6%22	http://thebluewalrus.com/wp-content/themes/cassia/img/icon-gallery.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/icon-gallery.png	(from http://thebluewalrus.com/wp-content/themes/cassia/style.css)
03:04:39	25835/25835	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202015%2010:04:34%20GMT	http://thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.eot	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.eot	(from http://thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css)
03:04:42	25812/25812	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202015%2010:04:36%20GMT	http://thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.eot?	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icond41d.eot	(from http://thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css)
03:04:43	25798/25798	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202015%2010:04:38%20GMT	http://thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.woff	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.woff	(from http://thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css)
03:04:45	25852/25852	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202015%2010:04:39%20GMT	http://thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.ttf	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.ttf	(from http://thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css)
03:04:46	25842/25842	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Jul%202015%2010:04:40%20GMT	http://thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.svg	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/css/fonts/flexslider-icon.svg	(from http://thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css)
03:04:47	1040/1040	---M--	200	added ('OK')	image/png	etag:%22410-5538e6e2-236ce470f4562ac4%22	http://thebluewalrus.com/wp-content/themes/cassia/img/slider-nav.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/slider-nav.png	(from http://thebluewalrus.com/wp-content/themes/cassia/css/flexslider.css)
03:04:47	944/944	---M--	200	added ('OK')	image/png	etag:%223b0-5538e6e2-6d6fd6278dc128ed%22	http://thebluewalrus.com/wp-content/themes/cassia/img/colorbox/overlay.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/colorbox/overlay.png	(from http://thebluewalrus.com/wp-content/themes/cassia/css/colorbox.css)
03:04:48	2893/2893	---M--	200	added ('OK')	image/png	etag:%22b4d-5538e6e2-7ba8cf0982c81651%22	http://thebluewalrus.com/wp-content/themes/cassia/img/colorbox/controls.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/colorbox/controls.png	(from http://thebluewalrus.com/wp-content/themes/cassia/css/colorbox.css)
03:04:48	112/112	---M--	200	added ('OK')	image/png	etag:%2270-5538e6e2-c9f8d63a254ea91e%22	http://thebluewalrus.com/wp-content/themes/cassia/img/colorbox/border.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/colorbox/border.png	(from http://thebluewalrus.com/wp-content/themes/cassia/css/colorbox.css)
03:04:48	157/157	---M--	200	added ('OK')	image/png	etag:%229d-5538e6e2-9074c7fc6a46d7a8%22	http://thebluewalrus.com/wp-content/themes/cassia/img/colorbox/loading_background.png	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/colorbox/loading_background.png	(from http://thebluewalrus.com/wp-content/themes/cassia/css/colorbox.css)
03:04:48	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2224d3-5538e6e2-4aca5253adc188e8%22	http://thebluewalrus.com/wp-content/themes/cassia/img/colorbox/loading.gif	C:/Users/Ross/Documents/Work/scrap/blueWalrus/walrus/thebluewalrus.com/wp-content/themes/cassia/img/colorbox/loading.gif	(from http://thebluewalrus.com/wp-content/themes/cassia/css/colorbox.css)
